"Issue","Complaint"
"Lock and Key","I need someone to help me with my door; it’s difficult to close."
"Request for Bed Lofting","Can you help me with the height of my bed? It’s too low."
"Wall Damage","The wall near my desk has some damage that needs urgent fixing."
"Request for Bed Lofting","Could someone help adjust the height of my bed? It’s uncomfortable."
"Wall Damage","The wall has some noticeable damage; I need it fixed."
"Lock and Key","I’m having trouble getting my door closed; it seems broken."
"Lock and Key","I can’t get my door to lock properly; could someone take a look?"
"Request for Bed Lofting","Can someone help raise my bed? It’s making the room feel small."
"Lock and Key","Could you please assist with the lock on my room door? Thank you!"
"Wall Damage","The wall by my bed is damaged; could you send someone?"
"Lock and Key","Please assist with the lock on my door; it's not working right."
"Wall Damage","The wall has some wear and tear; could you send someone to check it?"
"Lock and Key","Can someone check my door lock? It’s not turning properly."
"Lock and Key","The lock on my door has some issues. I need maintenance."
"Lock and Key","I have issues with my door lock; it's not secure."
"Request for Bed Lofting","My bed height is uncomfortable; I need help raising it."
"Lock and Key","The key to my room seems to be malfunctioning; I need assistance."
"Request for Bed Lofting","I need more space in my room; can someone come adjust my bed height?"
"Lock and Key","The lock on my door is acting up; I can’t get it to work."
"Lock and Key","I would appreciate it if you could check my door lock. Thank you!"
"Wall Damage","The paint on my wall is peeling; please send someone to repair it."
"Lock and Key","The lock keeps getting stuck; please send someone to repair it."
"Lock and Key","I can’t close my door fully; it seems to be stuck."
"Wall Damage","The wall near my bed has noticeable damage; please help."
"Lock and Key","I’m struggling to lock my door; it seems to be malfunctioning."
"Lock and Key","The lock on my door is jammed; I can't get in. Please help!"
"Lock and Key","Can someone check my door lock? It won’t turn properly."
"Wall Damage","I’d appreciate it if someone could check the wall; it looks damaged."
"Wall Damage","My wall has some serious scuff marks that need to be fixed."
"Request for Bed Lofting","Could you help me adjust my bed height? It’s not comfortable."
"Lock and Key","I can’t seem to get my door to lock properly; please help."
"Wall Damage","There are some scratches on the wall that need fixing."
"Wall Damage","The wall needs patching up; there’s some noticeable damage."
"Lock and Key","I can’t get my key to turn in the lock; could you assist?"
"Wall Damage","The wall in my room has scratches that need repair."
"Lock and Key","I need urgent help with my door lock; it won’t close."
"Lock and Key","The lock keeps getting stuck; can you send someone to fix it?"
"Lock and Key","The door won't open properly; I need help with this issue."
"Request for Bed Lofting","I have a problem with my bed height; it’s making my room cramped."
"Lock and Key","Please send maintenance for my lock; it’s not working well."
"Lock and Key","The key is getting stuck in the lock; could someone assist?"
"Wall Damage","The corner of my wall has some damage; please send maintenance."
"Lock and Key","My room key keeps getting stuck. Please fix it."
"Lock and Key","Please help with my door lock issue; I can't get in."
"Lock and Key","The lock on my door feels broken; please help me fix it."
