Complaint, Issue
"Could someone please help with my door lock? It's broken.","Lock and Key"
"The lock on my door is not functioning as it should. Please fix it.","Lock and Key"
"Please help me with my lock issue; I can't get in my room.","Lock and Key"
"I need my door lock checked; it’s acting up.","Lock and Key"
"I can’t get my door to lock properly. Please assist with this.","Lock and Key"
"The door lock is not functioning properly. I need assistance.","Lock and Key"
"I’m having trouble with my door lock. I need it repaired.","Lock and Key"
"The lock on my door is broken. Please assist with repairs.","Lock and Key"
"My key doesn't work smoothly with the lock. Please address this.","Lock and Key"
"I’m having trouble with my room key. It won’t work right.","Lock and Key"
"The lock keeps getting stuck. Please send someone to fix it.","Lock and Key"
"The lock on my room is damaged. I need repairs as soon as possible.","Lock and Key"
"Please assist with the lock on my door; it's not working right.","Lock and Key"
"Can you send someone to check the lock on my door? It’s broken.","Lock and Key"
"Could you please assist with the lock on my room door? Thank you!","Lock and Key"
"I need someone to take a look at my door lock; it’s faulty.","Lock and Key"
"The lock on my door is jammed; I can't get in. Please help!","Lock and Key"
"I need urgent assistance with my door lock; it’s broken.","Lock and Key"
"I have a problem with my door key; it’s not working properly.","Lock and Key"
"The lock on my door isn't catching properly. Please help!","Lock and Key"
"My key won't turn in the lock. Please help!","Lock and Key"
"I would appreciate it if you could check my door lock. Thank you!","Lock and Key"
"The lock on my door is loose. Can you send maintenance?","Lock and Key"
"Can someone check my door lock? It’s not turning properly.","Lock and Key"
"I need my room lock repaired; it’s not secure.","Lock and Key"
"The lock on my door has some issues. I need maintenance.","Lock and Key"
"Please help with my door lock issue; I can't get in.","Lock and Key"
"I need urgent help with my door lock; it won’t close.","Lock and Key"
"Can you assist with the key for my door? It’s malfunctioning.","Lock and Key"
"I’m unable to lock my door properly. I need help with this issue.","Lock and Key"
"The key to my room is acting strange. I need help with it.","Lock and Key"
"The lock on my door is not secure. Please help me fix it.","Lock and Key"
"Could someone help with my lock? It’s broken and needs fixing.","Lock and Key"
"Please assist with my lock issue; it's not functioning correctly.","Lock and Key"
"The lock keeps getting stuck; can you send someone to fix it?","Lock and Key"
"My door lock isn’t functioning correctly. Please assist!","Lock and Key"
