Complaint, Issue
"I need someone to help me with my door; it’s difficult to close.","Lock and Key"
"Can you help me with the height of my bed? It’s too low.","Request for Bed Lofting"
"The wall near my desk has some damage that needs urgent fixing.","Wall Damage"
"Could someone help adjust the height of my bed? It’s uncomfortable.","Request for Bed Lofting"
"The wall has some noticeable damage; I need it fixed.","Wall Damage"
"I’m having trouble getting my door closed; it seems broken.","Lock and Key"
"I can’t get my door to lock properly; could someone take a look?","Lock and Key"
"Can someone help raise my bed? It’s making the room feel small.","Request for Bed Lofting"
"Could you please assist with the lock on my room door? Thank you!","Lock and Key"
"The wall by my bed is damaged; could you send someone?","Wall Damage"
"Please assist with the lock on my door; it's not working right.","Lock and Key"
"The wall has some wear and tear; could you send someone to check it?","Wall Damage"
"Can someone check my door lock? It’s not turning properly.","Lock and Key"
"The lock on my door has some issues. I need maintenance.","Lock and Key"
"I have issues with my door lock; it's not secure.","Lock and Key"
"My bed height is uncomfortable; I need help raising it.","Request for Bed Lofting"
"The key to my room seems to be malfunctioning; I need assistance.","Lock and Key"
"I need more space in my room; can someone come adjust my bed height?","Request for Bed Lofting"
"The lock on my door is acting up; I can’t get it to work.","Lock and Key"
"I would appreciate it if you could check my door lock. Thank you!","Lock and Key"
"The paint on my wall is peeling; please send someone to repair it.","Wall Damage"
"The lock keeps getting stuck; please send someone to repair it.","Lock and Key"
"I can’t close my door fully; it seems to be stuck.","Lock and Key"
"The wall near my bed has noticeable damage; please help.","Wall Damage"
"I’m struggling to lock my door; it seems to be malfunctioning.","Lock and Key"
"The lock on my door is jammed; I can't get in. Please help!","Lock and Key"
"Can someone check my door lock? It won’t turn properly.","Lock and Key"
"I’d appreciate it if someone could check the wall; it looks damaged.","Wall Damage"
"My wall has some serious scuff marks that need to be fixed.","Wall Damage"
"Could you help me adjust my bed height? It’s not comfortable.","Request for Bed Lofting"
"I can’t seem to get my door to lock properly; please help.","Lock and Key"
"There are some scratches on the wall that need fixing.","Wall Damage"
"The wall needs patching up; there’s some noticeable damage.","Wall Damage"
